description,count
Clinton-Obama,52
Obama-Clinton,52
Bill Clinton-Hillary Rodham Clinton,37
Hillary Rodham Clinton-Bill Clinton,34
McCain-Obama,20
Obama-McCain,20
Barack Obama-Hillary Rodham Clinton,15
Chazz-Jimmy,15
Hillary Rodham Clinton-Barack Obama,15
Jimmy-Chazz,15
Malia-Sasha,13
Sasha-Malia,13
Michelle Obama-Barack Obama,11
Cindy McCain-John McCain,10
Edwards-Obama,10
John McCain-Cindy McCain,10
Obama-Edwards,10
Asif Ali Zardari-Benazir Bhutto,9
Benazir Bhutto-Asif Ali Zardari,9
Bhutto-Zardari,9
Hillary Clinton-Obama,9
Obama-Hillary Clinton,9
Zardari-Bhutto,9
Barack Obama-John McCain,7
George-Martha,7
John McCain-Barack Obama,7
Katie Holmes-Tom Cruise,7
Martha-George,7
Miller-Savin,7
Obama-Bill Clinton,7
Savin-Miller,7
Sharif-Zardari,7
Zardari-Sharif,7
Carla Bruni-Nicolas Sarkozy,6
Cindy McCain-John,6
Ethan Coen-Joel,6
Hillary Rodham Clinton-Obama,6
Joel-Ethan Coen,6
John-Cindy McCain,6
Maria Shriver-Arnold Schwarzenegger,6
Michelle-Obama,6
Obama-Hillary Rodham Clinton,6
Obama-Michelle,6
Barack Obama-Michelle Obama,5
Bill Clinton-Hillary Clinton,5
Bill Clinton-Obama,5
Brad Pitt-Jennifer Aniston,5
Bush-Obama,5
Eric Clapton-Mick Jagger,5
Hillary Clinton-Bill Clinton,5
Malia-Sasha Obama,5
Margera-Rothstein,5
McCain-Palin,5
Mick Jagger-Eric Clapton,5
Obama-Bush,5
Palin-McCain,5
Rothstein-Margera,5
Sasha Obama-Malia,5
Angelina Jolie-Brad Pitt,4
Ann-Romney,4
Bill-Hillary Clinton,4
Bill-Hillary Rodham Clinton,4
Blair-Carla Sarkozy,4
Brad Pitt-Angelina Jolie,4
Bush-McCain,4
Carla Sarkozy-Blair,4
Carrie-Doug,4
Charlie Crist-Carole Rome,4
Clinton-Ebeling,4
Clinton-Romney,4
Daphne-Niles,4
Doug-Carrie,4
Ebeling-Clinton,4
Elizabeth Edwards-Michelle Obama,4
Ferrell-Heder,4
Ferrell-McKay,4
Heder-Ferrell,4
Hillary Clinton-Bill,4
Hillary Rodham Clinton-Bill,4
James Carville-Mary Matalin,4
Jessica Simpson-Nick Lachey,4
Jimmy Carter-Rosalynn Carter,4
John Edwards-Obama,4
McCain-Bush,4
McKay-Ferrell,4
Michelle Obama-Elizabeth Edwards,4
Niles-Daphne,4
Obama-John Edwards,4
Obama-Wright,4
Romney-Clinton,4
Stephens-Wilson,4
Tom Cruise-Katie Holmes,4
Wilson-Stephens,4
Wright-Obama,4
Ali Hewson-Paul Hewson,3
Amy Poehler-Will Arnett,3
Ann Romney-Mitt,3
Axelrod-Craig,3
Barack Obama-Hillary Clinton,3
Bhutto-Musharraf,3
