weight_ge,weight_lt,weight,num_features
-2.66668455206521,-2.33334898305706,-2.48639019528338,2
-2.33334898305706,-2.00001341404891,-2.10692559300366,10
-2.00001341404891,-1.66667784504076,-1.7859261222516,55
-1.66667784504076,-1.33334227603261,-1.47093244908768,109
-1.33334227603261,-1.00000670702445,-1.15679415177705,179
-1.00000670702445,-0.666671138016303,-0.833756368808553,303
-0.666671138016303,-0.333335569008151,-0.501792992955984,266
-0.333335569008151,0,-0.149400509298767,602
0,,0,28269
0.000457852497438959,0.333335569008151,0.183096571739388,35
0.333335569008151,0.666671138016303,0.549095329889399,66
0.666671138016303,1.00000670702445,0.836135031644327,83
1.00000670702445,1.33334227603261,1.16433657638021,113
1.33334227603261,1.66667784504076,1.50799640001696,192
1.66667784504076,2.00001341404891,1.78932118483227,131
2.00001341404891,2.33334898305706,2.12651329808887,15
2.33334898305706,2.66668455206521,2.52973130475286,16
2.66668455206521,3.00002012107336,2.82588238128466,10
3.00002012107336,3.33335569008151,3.10050859405358,10
3.66669125908967,4.00002682809782,3.78864842685266,1
4.00002682809782,4.33336239710597,4.15964532205982,1
