num_features,num_candidates
7,1
12,3
13,1
15,1
19,2
20,4
21,8
22,6
23,3
24,1
28,4
29,4
30,2
31,1
33,1
35,5
36,62
37,56
38,32
39,15
40,6
41,2
42,2
44,1
72,2
76,2
78,1
