num_candidates,feature
8206,num_words_between=1
4514,num_words_between=4
3396,words_between=and
3296,num_words_between=5
3242,num_words_between=7
2850,num_words_between=3
2784,"words_between=,"
2690,num_words_between=10
2664,num_words_between=8
2524,num_words_between=6
2488,num_words_between=9
2298,num_words_between=2
2224,num_words_between=12
2214,num_words_between=13
2032,num_words_between=11
1938,num_words_between=16
1832,num_words_between=14
1770,num_words_between=15
1698,num_words_between=19
1596,num_words_between=17
1346,num_words_between=20
1332,num_words_between=18
1218,num_words_between=23
1214,num_words_between=22
1180,num_words_between=21
1062,num_words_between=26
994,num_words_between=25
968,num_words_between=24
952,has-and_his_wife
916,last_word_matches
818,num_words_between=28
772,num_words_between=29
768,words_between=-LRB-
762,num_words_between=30
750,num_words_between=27
660,num_words_between=33
656,num_words_between=31
562,num_words_between=32
542,num_words_between=34
530,num_words_between=35
514,num_words_between=37
480,num_words_between=36
456,num_words_between=40
418,num_words_between=39
390,num_words_between=38
370,num_words_between=43
352,num_words_between=42
340,"words_between=-RRB--,"
314,num_words_between=44
290,num_words_between=41
278,num_words_between=47
270,num_words_between=45
262,num_words_between=48
234,num_words_between=46
202,num_words_between=51
190,num_words_between=52
178,num_words_between=49
178,num_words_between=50
172,num_words_between=54
170,num_words_between=53
164,num_words_between=56
152,"words_between=,-and"
152,num_words_between=57
132,num_words_between=59
130,num_words_between=58
128,num_words_between=55
124,num_words_between=60
106,num_words_between=62
106,num_words_between=63
102,num_words_between=65
102,num_words_between=66
100,num_words_between=61
92,num_words_between=64
90,num_words_between=68
86,num_words_between=67
84,num_words_between=69
82,"words_between=,-''"
76,num_words_between=73
76,"words_between=and-his-wife-,"
76,num_words_between=72
74,num_words_between=75
74,num_words_between=70
74,num_words_between=71
74,words_between=-RRB--and
68,num_words_between=79
68,"words_between='s-wife-,"
68,words_between=;
66,num_words_between=74
66,words_between=or
66,num_words_between=77
62,num_words_between=87
60,num_words_between=85
58,words_between=said
58,num_words_between=80
58,num_words_between=78
58,num_words_between=76
54,num_words_between=83
52,words_between=as
52,words_between='s
50,words_between=;-produced-by
