feature,total,supervised,positive,negative,unsupervised
potential_last_name_match,5090,4376,1002,3374,714
"word_between=,",56922,4314,1457,2857,52608
word_between=the,19532,2482,727,1755,17050
word_between=and,30660,2412,913,1499,28248
word_between=of,16568,1776,654,1122,14792
word_between=to,10824,1330,348,982,9494
word_between='s,11138,1292,282,1010,9846
word_between=a,12218,1264,298,966,10954
word_between=in,8978,1124,235,889,7854
word_between=that,4954,832,116,716,4122
word_between=his,5022,726,276,450,4296
word_between=wife,2852,572,406,166,2280
word_between=on,4920,566,122,444,4354
word_between='',6872,554,102,452,6318
word_between=was,3888,542,110,432,3346
word_between=``,6282,538,98,440,5744
word_between=for,4998,536,132,404,4462
num_words_between=1,8204,534,407,127,7670
word_between=by,7844,526,121,405,7318
word_between=with,4774,496,146,350,4278
word_between=who,4838,482,134,348,4356
word_between=as,4346,466,108,358,3880
word_between=is,3284,446,154,292,2838
word_between=her,2894,436,211,225,2458
word_between=former,4078,430,218,212,3648
word_between=said,3312,418,40,378,2894
word_between=:,3456,386,72,314,3070
word_between=Sen.,3338,360,210,150,2978
word_between=-LRB-,14622,356,148,208,14266
word_between=campaign,1674,344,62,282,1330
num_words_between=4,4512,340,182,158,4172
word_between=;,9554,320,60,260,9234
word_between=has,2264,316,76,240,1948
word_between=he,2638,312,60,252,2326
num_words_between=6,2522,306,144,162,2216
word_between=at,2252,296,59,237,1956
word_between=-RRB-,13736,290,118,172,13446
num_words_between=8,2660,288,96,192,2372
num_words_between=5,3294,288,162,126,3006
num_words_between=7,3242,284,116,168,2958
word_between=Obama,2054,282,46,236,1772
word_between=President,2120,282,134,148,1838
word_between=from,2924,272,72,200,2652
num_words_between=3,2852,262,102,160,2590
num_words_between=9,2488,262,112,150,2226
word_between=an,2282,262,52,210,2020
word_between=husband,950,248,159,89,702
word_between=Clinton,1796,240,32,208,1556
word_between=--,1760,234,64,170,1526
num_words_between=11,2028,232,94,138,1796
num_words_between=12,2224,228,70,158,1996
word_between=had,1694,218,32,186,1476
num_words_between=10,2690,208,68,140,2482
num_words_between=13,2212,194,30,164,2018
word_between=about,1402,184,20,164,1218
word_between=be,1178,184,24,160,994
word_between=not,1038,182,30,152,856
word_between=but,1178,178,36,142,1000
word_between=she,1356,172,60,112,1184
num_words_between=18,1332,172,34,138,1160
word_between=have,1122,168,38,130,954
word_between=it,1264,164,26,138,1100
num_words_between=16,1938,156,42,114,1782
num_words_between=15,1770,156,44,112,1614
word_between=been,1038,152,40,112,886
word_between=-,2088,148,50,98,1940
num_words_between=14,1830,146,22,124,1684
num_words_between=2,2296,140,56,84,2156
word_between=first,916,136,56,80,780
num_words_between=19,1698,134,40,94,1564
word_between=were,852,134,12,122,718
word_between=after,782,132,24,108,650
word_between=their,1064,130,24,106,934
word_between=when,928,130,34,96,798
word_between=would,958,130,12,118,828
word_between=some,626,128,26,102,498
num_words_between=17,1592,128,38,90,1464
word_between=Mrs.,1600,126,20,106,1474
word_between=Democratic,864,122,52,70,742
word_between=Bill,1938,120,10,110,1818
word_between=than,818,120,22,98,698
word_between=presidential,714,118,46,72,596
num_words_between=21,1180,118,33,85,1062
word_between=New,1268,116,46,70,1152
word_between=two,706,116,20,96,590
word_between=which,974,116,18,98,858
word_between=married,508,114,80,34,394
word_between=one,764,114,28,86,650
word_between=director,3788,112,34,78,3676
word_between=more,768,110,26,84,658
num_words_between=20,1342,108,18,90,1234
word_between=president,1774,106,48,58,1668
word_between=',890,106,10,96,784
num_words_between=23,1218,104,26,78,1114
word_between=will,666,104,26,78,562
word_between=up,684,104,24,80,580
