weight,description
4.15964532205982,"f_has_spouse_features-words_between=,-the-wife-of-Sen."
3.78864842685266,f_has_spouse_features-words_between=and-former-President
3.29125198312673,f_has_spouse_features-words_between=have-been-at-the-heart-of-the-Democratic-Party-since
3.20339388058438,"f_has_spouse_features-words_between=,-the-widower-of"
3.1350584955694,"f_has_spouse_features-words_between='s-staffers-had-urged-him-to-stay-away-from-a-female-lobbyist-during-his-first-presidential-run-,"
3.11188985845034,"f_has_spouse_features-words_between=,-led-by-her-widower-,"
3.09702957663753,"f_has_spouse_features-words_between=may-be-the-spouse-running-for-office-,-but-it-is-more"
3.07042711770287,"f_has_spouse_features-words_between=and-his-wife-,"
3.03005547209115,f_has_spouse_features-words_between=has-agreed-to-all-of-the-conditions-sought-by-President-elect-Barack-Obama-'s-transition-team-to-eliminate-potential-conflicts-of-interest-if-Sen.
3.02925151579517,"f_has_spouse_features-words_between=,-wife-of"
