weight_ge,weight_lt,num_features
-1.66825281,-1.5888122,1
-1.50937159,-1.42993098,1
-1.42993098,-1.35049037,1
-1.27104976,-1.19160915,2
-1.19160915,-1.11216854,1
-0.95328732,-0.87384671,2
-0.87384671,-0.7944061,1
-0.7944061,-0.71496549,2
-0.71496549,-0.63552488,2
-0.63552488,-0.55608427,2
-0.55608427,-0.47664366,5
-0.47664366,-0.39720305,2
-0.39720305,-0.31776244,4
-0.31776244,-0.23832183,16
-0.23832183,-0.15888122,31
-0.15888122,-0.07944061,116
-0.07944061,0,1134
0,0,27174
