words,count
"{prostate,cancer}",42526
{stroke},41019
{melanoma},40070
{schizophrenia},35689
{fever},33980
{asthma},33004
{leukemia},28781
"{insulin,resistance}",24870
{pneumonia},21397
{glioma},20236
