weight,description
-959.933,f_issexad_features-sauna
-941.618,f_issexad_features-therapeutic
-770.546,f_issexad_features-businesses
-687.627,f_issexad_features-licensed
-489.549,f_issexad_features-jacuzzi
-394.028,f_issexad_features-systems
-393.351,f_issexad_features-dental
-360.004,f_issexad_features-rehab
-354.81,f_issexad_features-accupressure
-320.453,f_issexad_features-hazmat
