probability_lo,probability_hi,probability,accuracy,num_predictions_test,num_predictions_whole,num_correct,num_incorrect
0,0.1,0.05,0.0184956843403206,811,12158,15,796
0.1,0.2,0.15,0.0597014925373134,67,2970,4,63
0.2,0.3,0.25,,,2161,,16
0.3,0.4,0.35,0.380952380952381,21,2050,8,13
0.4,0.5,0.45,0.25,16,1947,4,12
0.5,0.6,0.55,0.333333333333333,9,2031,3,6
0.6,0.7,0.65,0.5,4,2624,2,2
0.7,0.8,0.75,0.6875,16,3366,11,5
0.8,0.9,0.85,0.625,16,5477,10,6
0.9,1,0.95,0.950191570881226,522,36200,496,26
